<10 , {input\big.txt : 3}>
<101 , {input\big.txt : 1}>
<102 , {input\big.txt : 3}>
<103 , {input\big.txt : 4}>
<104 , {input\big.txt : 3}>
<105 , {input\big.txt : 1}>
<11 , {input\big.txt : 2}>
<110 , {input\big.txt : 1}>
<12 , {input\big.txt : 1}>
<120 , {input\big.txt : 1}>
<130 , {input\big.txt : 1}>
<139 , {input\big.txt : 1}>
<145 , {input\big.txt : 1}>
<a , {input\big.txt : 98}>
<abate , {input\big.txt : 1}>
<abdomen , {input\big.txt : 1}>
<abdominal , {input\big.txt : 1}>
<able , {input\big.txt : 1}>
<abnormal , {input\big.txt : 1}>
<abortion , {input\big.txt : 1}>
<above , {input\big.txt : 2}>
<abscess , {input\big.txt : 8}>
<abscesses , {input\big.txt : 1}>
<absent , {input\big.txt : 1}>
<absorb , {input\big.txt : 1}>
<absorbed , {input\big.txt : 1}>
<absorption , {input\big.txt : 3}>
<account , {input\big.txt : 4}>
<accumulate , {input\big.txt : 1}>
<acid , {input\big.txt : 1}>
<act , {input\big.txt : 1}>
<acting , {input\big.txt : 1}>
<action , {input\big.txt : 5}>
<active , {input\big.txt : 1}>
<actual , {input\big.txt : 1}>
<acute , {input\big.txt : 8}>
<adds , {input\big.txt : 1}>
<adhesions , {input\big.txt : 3}>
<adjuvant , {input\big.txt : 1}>
<admit , {input\big.txt : 1}>
<admits , {input\big.txt : 1}>
<advanced , {input\big.txt : 1}>
<advisable , {input\big.txt : 1}>
<affected , {input\big.txt : 3}>
<affection , {input\big.txt : 1}>
<after , {input\big.txt : 6}>
<afternoon , {input\big.txt : 1}>
<again , {input\big.txt : 1}>
<against , {input\big.txt : 1}>
<aggravated , {input\big.txt : 2}>
<albuminuria , {input\big.txt : 1}>
<alkaloid , {input\big.txt : 1}>
<alkaloids , {input\big.txt : 1}>
<all , {input\big.txt : 3}>
<allow , {input\big.txt : 1}>
<allowed , {input\big.txt : 2}>
<along , {input\big.txt : 2}>
<already , {input\big.txt : 1}>
<also , {input\big.txt : 5}>
<although , {input\big.txt : 4}>
<always , {input\big.txt : 5}>
<among , {input\big.txt : 2}>
<amount , {input\big.txt : 2}>
<amounting , {input\big.txt : 1}>
<amputation , {input\big.txt : 2}>
<an , {input\big.txt : 19}>
<anaesthesia , {input\big.txt : 2}>
<anatomical , {input\big.txt : 1}>
<and , {input\big.txt : 150}>
<angle , {input\big.txt : 1}>
<angle; , {input\big.txt : 1}>
<ankle , {input\big.txt : 1}>
<ankylosis , {input\big.txt : 1}>
<annular , {input\big.txt : 1}>
<ano , {input\big.txt : 1}>
<another , {input\big.txt : 3}>
<anterior , {input\big.txt : 1}>
<anti , {input\big.txt : 1}>
<anus , {input\big.txt : 1}>
<any , {input\big.txt : 2}>
<anything , {input\big.txt : 1}>
<apathy , {input\big.txt : 1}>
<appear , {input\big.txt : 2}>
<appearance , {input\big.txt : 2}>
<appearing , {input\big.txt : 1}>
<appendicitis , {input\big.txt : 1}>
<appetite , {input\big.txt : 2}>
<application , {input\big.txt : 1}>
<applied , {input\big.txt : 4}>
<applying , {input\big.txt : 1}>
<approaches , {input\big.txt : 1}>
<approximated , {input\big.txt : 1}>
<apt , {input\big.txt : 2}>
<are , {input\big.txt : 26}>
<area , {input\big.txt : 6}>
<areas , {input\big.txt : 1}>
<arm , {input\big.txt : 1}>
<armpit , {input\big.txt : 1}>
<around , {input\big.txt : 3}>
<arranged , {input\big.txt : 1}>
<arrangement , {input\big.txt : 1}>
<arrested , {input\big.txt : 1}>
<arterial , {input\big.txt : 2}>
<as , {input\big.txt : 32}>
<ascites , {input\big.txt : 1}>
<ashy , {input\big.txt : 1}>
<associated , {input\big.txt : 3}>
<assumes , {input\big.txt : 3}>
<at , {input\big.txt : 15}>
<attachments , {input\big.txt : 1}>
<attempts , {input\big.txt : 1}>
<attended , {input\big.txt : 1}>
<attention , {input\big.txt : 1}>
<attitude , {input\big.txt : 1}>
<attracted , {input\big.txt : 1}>
<avoid , {input\big.txt : 3}>
<avoided , {input\big.txt : 3}>
<away , {input\big.txt : 2}>
<axilla , {input\big.txt : 3}>
<axillary , {input\big.txt : 3}>
<bacillus , {input\big.txt : 1}>
<back , {input\big.txt : 1}>
<bacteria , {input\big.txt : 4}>
<band , {input\big.txt : 5}>
<bare , {input\big.txt : 1}>
<bath , {input\big.txt : 1}>
<be , {input\big.txt : 56}>
<because , {input\big.txt : 1}>
<becks , {input\big.txt : 1}>
<become , {input\big.txt : 5}>
<becomes , {input\big.txt : 10}>
<becoming , {input\big.txt : 1}>
<bed , {input\big.txt : 1}>
<beef , {input\big.txt : 1}>
<been , {input\big.txt : 5}>
<before , {input\big.txt : 2}>
<begins , {input\big.txt : 2}>
<being , {input\big.txt : 7}>
<bells , {input\big.txt : 1}>
<below , {input\big.txt : 3}>
<beneath , {input\big.txt : 1}>
<beside , {input\big.txt : 1}>
<best , {input\big.txt : 3}>
<between , {input\big.txt : 6}>
<biers , {input\big.txt : 2}>
<bismuth , {input\big.txt : 2}>
<black , {input\big.txt : 1}>
<bladder , {input\big.txt : 2}>
<blebs , {input\big.txt : 1}>
<blister , {input\big.txt : 4}>
<blocked , {input\big.txt : 1}>
<blood , {input\big.txt : 9}>
<bluish , {input\big.txt : 1}>
<bodily , {input\big.txt : 1}>
<body , {input\big.txt : 5}>
<boggy , {input\big.txt : 1}>
<bone , {input\big.txt : 5}>
<bones , {input\big.txt : 2}>
<bony , {input\big.txt : 1}>
<boracic , {input\big.txt : 2}>
<both , {input\big.txt : 1}>
<bottom , {input\big.txt : 1}>
<brain , {input\big.txt : 1}>
<branchial , {input\big.txt : 1}>
<brawny , {input\big.txt : 1}>
<breach , {input\big.txt : 1}>
<breaks , {input\big.txt : 2}>
<breast , {input\big.txt : 1}>
<brown , {input\big.txt : 2}>
<brownish , {input\big.txt : 1}>
<bullet , {input\big.txt : 1}>
<burning , {input\big.txt : 1}>
<burrow , {input\big.txt : 1}>
<burrows , {input\big.txt : 1}>
<bursa , {input\big.txt : 3}>
<but , {input\big.txt : 10}>
<by , {input\big.txt : 40}>
<can , {input\big.txt : 5}>
<canal , {input\big.txt : 1}>
<canals , {input\big.txt : 1}>
<cannot , {input\big.txt : 2}>
<capillary , {input\big.txt : 1}>
<carbolic , {input\big.txt : 1}>
<care , {input\big.txt : 1}>
<carious , {input\big.txt : 1}>
<carpal , {input\big.txt : 2}>
<carried , {input\big.txt : 6}>
<carry , {input\big.txt : 1}>
<case , {input\big.txt : 6}>
<cases , {input\big.txt : 20}>
<caused , {input\big.txt : 1}>
<causes , {input\big.txt : 1}>
<causing , {input\big.txt : 2}>
<cavities , {input\big.txt : 1}>
<cavity , {input\big.txt : 4}>
<cellular , {input\big.txt : 4}>
<cellulitis , {input\big.txt : 15}>
<centre , {input\big.txt : 2}>
<certain , {input\big.txt : 4}>
<changed , {input\big.txt : 1}>
<character , {input\big.txt : 1}>
<characteristically , {input\big.txt : 1}>
<chart , {input\big.txt : 2}>
<charts , {input\big.txt : 1}>
<checked , {input\big.txt : 1}>
<cheek , {input\big.txt : 1}>
<cheeks , {input\big.txt : 1}>
<chest , {input\big.txt : 5}>
<chill , {input\big.txt : 2}>
<chilliness , {input\big.txt : 1}>
<chronic , {input\big.txt : 5}>
<cicatricial , {input\big.txt : 1}>
<circulating , {input\big.txt : 2}>
<circulation , {input\big.txt : 3}>
<clammy , {input\big.txt : 2}>
<clavicle , {input\big.txt : 1}>
<clearly , {input\big.txt : 1}>
<clefts , {input\big.txt : 1}>
<clinical , {input\big.txt : 6}>
<clinically , {input\big.txt : 2}>
<clipping , {input\big.txt : 1}>
<close , {input\big.txt : 2}>
<closing , {input\big.txt : 1}>
<closure , {input\big.txt : 2}>
<clot , {input\big.txt : 1}>
<clubbing , {input\big.txt : 1}>
<coated , {input\big.txt : 1}>
<cocci , {input\big.txt : 2}>
<coffee , {input\big.txt : 1}>
<cold , {input\big.txt : 4}>
<collections , {input\big.txt : 2}>
<colour , {input\big.txt : 1}>
<combination , {input\big.txt : 1}>
<comfort , {input\big.txt : 1}>
<commenced , {input\big.txt : 1}>
<common , {input\big.txt : 4}>
<common; , {input\big.txt : 1}>
<commonly , {input\big.txt : 3}>
<comparable , {input\big.txt : 1}>
<complete , {input\big.txt : 2}>
<completely , {input\big.txt : 3}>
<completeness , {input\big.txt : 1}>
<complicate , {input\big.txt : 1}>
<compound , {input\big.txt : 1}>
<compressible , {input\big.txt : 3}>
<condition , {input\big.txt : 7}>
<condition; , {input\big.txt : 1}>
<conditions , {input\big.txt : 4}>
<congenital , {input\big.txt : 1}>
<connection , {input\big.txt : 1}>
<connective , {input\big.txt : 4}>
<consider , {input\big.txt : 1}>
<considerable , {input\big.txt : 4}>
<considered , {input\big.txt : 1}>
<consists , {input\big.txt : 3}>
<constitutional , {input\big.txt : 6}>
<constricting , {input\big.txt : 3}>
<constriction , {input\big.txt : 1}>
<containing , {input\big.txt : 2}>
<contains , {input\big.txt : 1}>
<continues , {input\big.txt : 1}>
<continuous , {input\big.txt : 2}>
<contra , {input\big.txt : 1}>
<contraction , {input\big.txt : 2}>
<contractions , {input\big.txt : 1}>
<convenient , {input\big.txt : 2}>
<conveyed , {input\big.txt : 1}>
<corneum , {input\big.txt : 2}>
<corresponds , {input\big.txt : 1}>
<counter , {input\big.txt : 1}>
<course , {input\big.txt : 1}>
<covered , {input\big.txt : 2}>
<crack , {input\big.txt : 1}>
<crunching , {input\big.txt : 1}>
<crushed , {input\big.txt : 1}>
<crust , {input\big.txt : 1}>
<cut , {input\big.txt : 1}>
<cutaneous , {input\big.txt : 2}>
<dakins , {input\big.txt : 1}>
<dam , {input\big.txt : 1}>
<dark , {input\big.txt : 4}>
<dead , {input\big.txt : 2}>
<dealing , {input\big.txt : 1}>
<dealt , {input\big.txt : 1}>
<death , {input\big.txt : 2}>
<deeper , {input\big.txt : 2}>
<degeneration , {input\big.txt : 2}>
<degree , {input\big.txt : 1}>
<delayed , {input\big.txt : 1}>
<delirious , {input\big.txt : 1}>
<delirium , {input\big.txt : 2}>
<dense , {input\big.txt : 1}>
<dependent , {input\big.txt : 1}>
<depends , {input\big.txt : 3}>
<depress , {input\big.txt : 1}>
<depressed , {input\big.txt : 1}>
<describe , {input\big.txt : 1}>
<described , {input\big.txt : 4}>
<detected , {input\big.txt : 3}>
<determine , {input\big.txt : 2}>
<develop , {input\big.txt : 2}>
<development , {input\big.txt : 1}>
<diagnosis , {input\big.txt : 1}>
<diagram , {input\big.txt : 1}>
<diarrhoea , {input\big.txt : 3}>
<different , {input\big.txt : 1}>
<differs , {input\big.txt : 1}>
<diffuse , {input\big.txt : 7}>
<digital , {input\big.txt : 1}>
<diminish , {input\big.txt : 2}>
<direct , {input\big.txt : 1}>
<directly , {input\big.txt : 1}>
<disappear , {input\big.txt : 1}>
<discharge , {input\big.txt : 6}>
<discharges , {input\big.txt : 1}>
<discoloration , {input\big.txt : 1}>
<discomfort , {input\big.txt : 1}>
<discover , {input\big.txt : 1}>
<disease , {input\big.txt : 2}>
<diseased , {input\big.txt : 1}>
<diseases , {input\big.txt : 1}>
<disfigurement , {input\big.txt : 1}>
<disinfect , {input\big.txt : 1}>
<disinfected , {input\big.txt : 1}>
<distal , {input\big.txt : 1}>
<distance , {input\big.txt : 3}>
<distinct , {input\big.txt : 1}>
<distressing , {input\big.txt : 1}>
<disturbance , {input\big.txt : 4}>
<diverticulum , {input\big.txt : 1}>
<division , {input\big.txt : 1}>
<do , {input\big.txt : 1}>
<does , {input\big.txt : 3}>
<done , {input\big.txt : 1}>
<dorsiflexed , {input\big.txt : 1}>
<dorsum , {input\big.txt : 1}>
<dose , {input\big.txt : 1}>
<douching , {input\big.txt : 1}>
<down , {input\big.txt : 1}>
<dragged , {input\big.txt : 1}>
<drain , {input\big.txt : 2}>
<drainage , {input\big.txt : 2}>
<dressing , {input\big.txt : 2}>
<dressings , {input\big.txt : 1}>
<dried , {input\big.txt : 1}>
<dry , {input\big.txt : 3}>
<ducts , {input\big.txt : 1}>
<due , {input\big.txt : 2}>
<dull , {input\big.txt : 1}>
<during , {input\big.txt : 2}>
<ear , {input\big.txt : 1}>
<early , {input\big.txt : 3}>
<effected , {input\big.txt : 1}>
<effects , {input\big.txt : 3}>
<either , {input\big.txt : 1}>
<elbow , {input\big.txt : 3}>
<elicited , {input\big.txt : 1}>
<eliminated , {input\big.txt : 1}>
<eliminating , {input\big.txt : 1}>
<emaciated , {input\big.txt : 1}>
<emboli , {input\big.txt : 1}>
<emigration , {input\big.txt : 1}>
<emphysema , {input\big.txt : 1}>
<employed , {input\big.txt : 3}>
<empyema , {input\big.txt : 2}>
<encourage , {input\big.txt : 1}>
<endanger , {input\big.txt : 2}>
<enlargement , {input\big.txt : 1}>
<enter , {input\big.txt : 1}>
<entered , {input\big.txt : 1}>
<entire , {input\big.txt : 1}>
<entirely , {input\big.txt : 1}>
<entrance , {input\big.txt : 1}>
<epidermis , {input\big.txt : 1}>
<eradicated , {input\big.txt : 1}>
<eradicating , {input\big.txt : 1}>
<erosion , {input\big.txt : 1}>
<errors , {input\big.txt : 1}>
<eruptions , {input\big.txt : 1}>
<escape , {input\big.txt : 3}>
<escapes , {input\big.txt : 1}>
<especially , {input\big.txt : 3}>
<eusol , {input\big.txt : 3}>
<even , {input\big.txt : 9}>
<evening , {input\big.txt : 1}>
<event , {input\big.txt : 1}>
<eventually , {input\big.txt : 1}>
<evolved , {input\big.txt : 1}>
<example , {input\big.txt : 7}>
<exceed , {input\big.txt : 1}>
<exceedingly , {input\big.txt : 1}>
<excellent , {input\big.txt : 1}>
<exceptional , {input\big.txt : 1}>
<excessive , {input\big.txt : 1}>
<excise , {input\big.txt : 1}>
<excised , {input\big.txt : 1}>
<exhausted , {input\big.txt : 1}>
<exit , {input\big.txt : 2}>
<extend , {input\big.txt : 1}>
<extends , {input\big.txt : 1}>
<extension , {input\big.txt : 1}>
<extent , {input\big.txt : 3}>
<externally , {input\big.txt : 1}>
<extremely , {input\big.txt : 1}>
<eye , {input\big.txt : 1}>
<face , {input\big.txt : 2}>
<fail , {input\big.txt : 1}>
<failing , {input\big.txt : 1}>
<fails , {input\big.txt : 2}>
<falls , {input\big.txt : 1}>
<fascia , {input\big.txt : 3}>
<fasciae , {input\big.txt : 1}>
<fat , {input\big.txt : 1}>
<features , {input\big.txt : 4}>
<feeble , {input\big.txt : 3}>
<feel , {input\big.txt : 1}>
<feeling , {input\big.txt : 2}>
<femoral , {input\big.txt : 1}>
<fever , {input\big.txt : 5}>
<few , {input\big.txt : 3}>
<fibres , {input\big.txt : 1}>
<fibrous , {input\big.txt : 1}>
<fig , {input\big.txt : 10}>
<find , {input\big.txt : 1}>
<finger , {input\big.txt : 11}>
<fingers , {input\big.txt : 6}>
<firm , {input\big.txt : 4}>
<first , {input\big.txt : 3}>
<fistula , {input\big.txt : 6}>
<fistula; , {input\big.txt : 3}>
<fistulae , {input\big.txt : 5}>
<flex , {input\big.txt : 2}>
<flexed , {input\big.txt : 2}>
<flexor , {input\big.txt : 3}>
<fluctuation , {input\big.txt : 3}>
<fluid , {input\big.txt : 1}>
<flushed , {input\big.txt : 2}>
<fluttering , {input\big.txt : 1}>
<focus , {input\big.txt : 6}>
<foetal , {input\big.txt : 1}>
<fold , {input\big.txt : 4}>
<follow , {input\big.txt : 3}>
<followed , {input\big.txt : 2}>
<following , {input\big.txt : 2}>
<fomentations , {input\big.txt : 1}>
<foot , {input\big.txt : 2}>
<for , {input\big.txt : 20}>
<force , {input\big.txt : 1}>
<forearm , {input\big.txt : 3}>
<foreign , {input\big.txt : 2}>
<form , {input\big.txt : 12}>
<formation , {input\big.txt : 6}>
<formed , {input\big.txt : 2}>
<forms , {input\big.txt : 12}>
<found , {input\big.txt : 2}>
<four , {input\big.txt : 1}>
<fracture , {input\big.txt : 1}>
<free , {input\big.txt : 5}>
<freely , {input\big.txt : 1}>
<frequency , {input\big.txt : 1}>
<frequent , {input\big.txt : 1}>
<frequently , {input\big.txt : 4}>
<from , {input\big.txt : 26}>
<front , {input\big.txt : 1}>
<full , {input\big.txt : 1}>
<fur , {input\big.txt : 1}>
<further , {input\big.txt : 2}>
<fuse , {input\big.txt : 1}>
<gangrene , {input\big.txt : 2}>
<gases , {input\big.txt : 1}>
<gauze , {input\big.txt : 3}>
<general , {input\big.txt : 4}>
<generally , {input\big.txt : 1}>
<gentle , {input\big.txt : 1}>
<get , {input\big.txt : 1}>
<give , {input\big.txt : 1}>
<given , {input\big.txt : 1}>
<giving , {input\big.txt : 3}>
<glands , {input\big.txt : 4}>
<glycerine , {input\big.txt : 1}>
<go , {input\big.txt : 1}>
<good , {input\big.txt : 2}>
<gradual , {input\big.txt : 1}>
<gradually , {input\big.txt : 1}>
<granulation , {input\big.txt : 1}>
<granulations , {input\big.txt : 3}>
<grating , {input\big.txt : 2}>
<grave , {input\big.txt : 2}>
<gravity , {input\big.txt : 1}>
<great , {input\big.txt : 2}>
<grey , {input\big.txt : 1}>
<groin , {input\big.txt : 1}>
<ground , {input\big.txt : 1}>
<grumous , {input\big.txt : 1}>
<guides , {input\big.txt : 1}>
<haemorrhage , {input\big.txt : 2}>
<haemorrhages , {input\big.txt : 1}>
<hand , {input\big.txt : 6}>
<handle , {input\big.txt : 1}>
<has , {input\big.txt : 7}>
<hastened , {input\big.txt : 1}>
<have , {input\big.txt : 10}>
<having , {input\big.txt : 2}>
<he , {input\big.txt : 3}>
<healed , {input\big.txt : 1}>
<healing , {input\big.txt : 5}>
<heals , {input\big.txt : 1}>
<healthy , {input\big.txt : 1}>
<hearts , {input\big.txt : 1}>
<heat , {input\big.txt : 1}>
<hectic , {input\big.txt : 4}>
<here , {input\big.txt : 1}>
<hernia , {input\big.txt : 1}>
<hiltons , {input\big.txt : 1}>
<him , {input\big.txt : 2}>
<his , {input\big.txt : 2}>
<hopeful; , {input\big.txt : 1}>
<hot , {input\big.txt : 2}>
<hours , {input\big.txt : 4}>
<however , {input\big.txt : 2}>
<hydrogen , {input\big.txt : 2}>
<hyperaemia , {input\big.txt : 3}>
<ichthyol , {input\big.txt : 1}>
<idleness , {input\big.txt : 1}>
<if , {input\big.txt : 22}>
<illustration: , {input\big.txt : 4}>
<immediate , {input\big.txt : 1}>
<immediately , {input\big.txt : 1}>
<immersion , {input\big.txt : 1}>
<impaired , {input\big.txt : 2}>
<impending , {input\big.txt : 1}>
<imperceptible , {input\big.txt : 1}>
<imperfect , {input\big.txt : 1}>
<implicated , {input\big.txt : 3}>
<impossible , {input\big.txt : 1}>
<impracticable , {input\big.txt : 1}>
<in , {input\big.txt : 109}>
<incidence , {input\big.txt : 1}>
<incision , {input\big.txt : 3}>
<incisions , {input\big.txt : 7}>
