<1858 , {input\big1.txt : 1}>
<1888 , {input\big1.txt : 1}>
<a , {input\big1.txt : 175}>
<abandoned , {input\big1.txt : 1}>
<abhorrent , {input\big1.txt : 1}>
<able , {input\big1.txt : 2}>
<about , {input\big1.txt : 8}>
<absolute , {input\big1.txt : 1}>
<absolutely , {input\big1.txt : 3}>
<absorb , {input\big1.txt : 1}>
<accent , {input\big1.txt : 1}>
<accomplished , {input\big1.txt : 1}>
<account , {input\big1.txt : 3}>
<accustomed , {input\big1.txt : 3}>
<acquaintance , {input\big1.txt : 1}>
<across , {input\big1.txt : 3}>
<action , {input\big1.txt : 1}>
<actions , {input\big1.txt : 1}>
<active , {input\big1.txt : 1}>
<activity , {input\big1.txt : 1}>
<actor , {input\big1.txt : 1}>
<acute , {input\big1.txt : 1}>
<added , {input\big1.txt : 1}>
<address , {input\big1.txt : 5}>
<addressing , {input\big1.txt : 1}>
<adjusted , {input\big1.txt : 2}>
<adler , {input\big1.txt : 9}>
<admirable , {input\big1.txt : 1}>
<admirably , {input\big1.txt : 1}>
<admit , {input\big1.txt : 1}>
<adopted , {input\big1.txt : 1}>
<advantages , {input\big1.txt : 1}>
<adventuress , {input\big1.txt : 1}>
<advise , {input\big1.txt : 1}>
<affairs , {input\big1.txt : 1}>
<after , {input\big1.txt : 2}>
<afternoon , {input\big1.txt : 1}>
<afterwards , {input\big1.txt : 1}>
<again , {input\big1.txt : 5}>
<against , {input\big1.txt : 3}>
<agent , {input\big1.txt : 3}>
<agitation , {input\big1.txt : 1}>
<ago , {input\big1.txt : 2}>
<air , {input\big1.txt : 1}>
<aisle , {input\big1.txt : 1}>
<akin , {input\big1.txt : 2}>
<all , {input\big1.txt : 18}>
<almost , {input\big1.txt : 3}>
<alone , {input\big1.txt : 2}>
<aloud , {input\big1.txt : 1}>
<already , {input\big1.txt : 5}>
<also , {input\big1.txt : 1}>
<altar , {input\big1.txt : 3}>
<alternating , {input\big1.txt : 1}>
<always , {input\big1.txt : 3}>
<am , {input\big1.txt : 15}>
<amazing , {input\big1.txt : 1}>
<ambition , {input\big1.txt : 1}>
<amiable , {input\big1.txt : 1}>
<amiss , {input\big1.txt : 1}>
<among , {input\big1.txt : 2}>
<an , {input\big1.txt : 19}>
<and , {input\big1.txt : 191}>
<animated , {input\big1.txt : 1}>
<another , {input\big1.txt : 2}>
<answered , {input\big1.txt : 4}>
<anxiety , {input\big1.txt : 1}>
<any , {input\big1.txt : 3}>
<anyone , {input\big1.txt : 1}>
<anything , {input\big1.txt : 2}>
<apart , {input\big1.txt : 1}>
<apiece , {input\big1.txt : 1}>
<apparent , {input\big1.txt : 1}>
<apparently , {input\big1.txt : 1}>
<appearance , {input\big1.txt : 2}>
<appeared , {input\big1.txt : 3}>
<appears , {input\big1.txt : 1}>
<aquiline , {input\big1.txt : 1}>
<are , {input\big1.txt : 22}>
<armchair , {input\big1.txt : 4}>
<arms , {input\big1.txt : 1}>
<around , {input\big1.txt : 1}>
<arranged , {input\big1.txt : 1}>
<arrangements , {input\big1.txt : 1}>
<arrest , {input\big1.txt : 1}>
<arrived , {input\big1.txt : 1}>
<as , {input\big1.txt : 47}>
<asked , {input\big1.txt : 5}>
<assisting , {input\big1.txt : 1}>
<associated , {input\big1.txt : 2}>
<assumed , {input\big1.txt : 1}>
<astrakhan , {input\big1.txt : 1}>
<at , {input\big1.txt : 46}>
<atkinson , {input\big1.txt : 1}>
<attempt , {input\big1.txt : 1}>
<attempts , {input\big1.txt : 2}>
<attend , {input\big1.txt : 1}>
<attention , {input\big1.txt : 3}>
<attitude , {input\big1.txt : 1}>
<attracted , {input\big1.txt : 1}>
<august , {input\big1.txt : 1}>
<authenticity , {input\big1.txt : 1}>
<authoritative , {input\big1.txt : 1}>
<avenue , {input\big1.txt : 3}>
<averse , {input\big1.txt : 1}>
<awaiting , {input\big1.txt : 1}>
<aware , {input\big1.txt : 3}>
<away , {input\big1.txt : 4}>
<bachelor , {input\big1.txt : 1}>
<back , {input\big1.txt : 6}>
<bad , {input\big1.txt : 2}>
<baffled , {input\big1.txt : 1}>
<bag , {input\big1.txt : 1}>
<baggy , {input\big1.txt : 1}>
<baker , {input\big1.txt : 4}>
<balanced , {input\big1.txt : 1}>
<balancing , {input\big1.txt : 2}>
<bands , {input\big1.txt : 1}>
<banker , {input\big1.txt : 1}>
<barbaric , {input\big1.txt : 1}>
<be , {input\big1.txt : 45}>
<beamed , {input\big1.txt : 1}>
<bear , {input\big1.txt : 1}>
<beauties , {input\big1.txt : 1}>
<beautiful , {input\big1.txt : 1}>
<became , {input\big1.txt : 2}>
<because , {input\big1.txt : 2}>
<becomes , {input\big1.txt : 1}>
<bedroom , {input\big1.txt : 2}>
<beef , {input\big1.txt : 1}>
<been , {input\big1.txt : 18}>
<beer , {input\big1.txt : 1}>
<before , {input\big1.txt : 11}>
<began , {input\big1.txt : 1}>
<begin , {input\big1.txt : 1}>
<begins , {input\big1.txt : 1}>
<behind , {input\big1.txt : 3}>
<being , {input\big1.txt : 4}>
<believe , {input\big1.txt : 1}>
<bell , {input\big1.txt : 3}>
<benevolent , {input\big1.txt : 1}>
<beryl , {input\big1.txt : 1}>
<beside , {input\big1.txt : 1}>
<besides , {input\big1.txt : 1}>
<best , {input\big1.txt : 2}>
<betrothal , {input\big1.txt : 1}>
<better , {input\big1.txt : 3}>
<between , {input\big1.txt : 3}>
<beyond , {input\big1.txt : 1}>
<bijou , {input\big1.txt : 1}>
<binding , {input\big1.txt : 1}>
<biographies , {input\big1.txt : 1}>
<biography , {input\big1.txt : 1}>
<bit , {input\big1.txt : 1}>
<black , {input\big1.txt : 3}>
<blackmailing , {input\big1.txt : 1}>
<blanche , {input\big1.txt : 1}>
<blind , {input\big1.txt : 1}>
<blood , {input\big1.txt : 1}>
<blow , {input\big1.txt : 1}>
<blue , {input\big1.txt : 2}>
<bohemia , {input\big1.txt : 4}>
<bohemian , {input\big1.txt : 3}>
<bonnet , {input\big1.txt : 1}>
