<a , {input\big2.txt : 61}>
<about , {input\big2.txt : 6}>
<accepted , {input\big2.txt : 1}>
<accompanied , {input\big2.txt : 1}>
<account , {input\big2.txt : 1}>
<accustomed , {input\big2.txt : 1}>
<actual , {input\big2.txt : 1}>
<actually , {input\big2.txt : 1}>
<added , {input\big2.txt : 1}>
<admonish , {input\big2.txt : 1}>
<advanced , {input\big2.txt : 1}>
<affairs , {input\big2.txt : 1}>
<after , {input\big2.txt : 3}>
<again , {input\big2.txt : 9}>
<against , {input\big2.txt : 1}>
<agitated , {input\big2.txt : 1}>
<agree , {input\big2.txt : 5}>
<agreement , {input\big2.txt : 1}>
<ah , {input\big2.txt : 2}>
<air , {input\big2.txt : 1}>
<alive , {input\big2.txt : 1}>
<all , {input\big2.txt : 24}>
<alluding , {input\big2.txt : 1}>
<alone , {input\big2.txt : 2}>
<along , {input\big2.txt : 3}>
<aloud , {input\big2.txt : 1}>
<alpatych , {input\big2.txt : 14}>
<already , {input\big2.txt : 1}>
<also , {input\big2.txt : 1}>
<always , {input\big2.txt : 4}>
<am , {input\big2.txt : 8}>
<amuse , {input\big2.txt : 2}>
<amused , {input\big2.txt : 1}>
<an , {input\big2.txt : 8}>
<and , {input\big2.txt : 166}>
<andrew , {input\big2.txt : 3}>
<andrews , {input\big2.txt : 2}>
<anger , {input\big2.txt : 1}>
<angered , {input\big2.txt : 1}>
<angry , {input\big2.txt : 1}>
<annihilated , {input\big2.txt : 1}>
<another , {input\big2.txt : 4}>
<answer , {input\big2.txt : 3}>
<answered , {input\big2.txt : 3}>
<answers , {input\big2.txt : 1}>
<anteroom , {input\big2.txt : 1}>
<any , {input\big2.txt : 3}>
<anyone , {input\big2.txt : 1}>
<anything , {input\big2.txt : 4}>
<appeared , {input\big2.txt : 2}>
<apprehension , {input\big2.txt : 1}>
<approached , {input\big2.txt : 1}>
<architect , {input\big2.txt : 1}>
<are , {input\big2.txt : 8}>
<armies , {input\big2.txt : 1}>
<armpits , {input\big2.txt : 1}>
<army , {input\big2.txt : 1}>
<arrivals , {input\big2.txt : 1}>
<artful , {input\big2.txt : 1}>
<as , {input\big2.txt : 27}>
<ask , {input\big2.txt : 3}>
<askance , {input\big2.txt : 1}>
<asked , {input\big2.txt : 10}>
<asking , {input\big2.txt : 2}>
<asks , {input\big2.txt : 1}>
<assembled , {input\big2.txt : 1}>
<at , {input\big2.txt : 38}>
<attentively , {input\big2.txt : 1}>
<august , {input\big2.txt : 1}>
<avoid , {input\big2.txt : 1}>
<away , {input\big2.txt : 13}>
<awkward , {input\big2.txt : 1}>
<back , {input\big2.txt : 2}>
<bad , {input\big2.txt : 1}>
<bald , {input\big2.txt : 2}>
<bared , {input\big2.txt : 2}>
<barn , {input\big2.txt : 4}>
<be , {input\big2.txt : 12}>
<beards , {input\big2.txt : 1}>
<beatific , {input\big2.txt : 1}>
<beating , {input\big2.txt : 1}>
<because , {input\big2.txt : 3}>
<bed , {input\big2.txt : 1}>
<been , {input\big2.txt : 7}>
<before , {input\big2.txt : 9}>
<beg , {input\big2.txt : 1}>
<began , {input\big2.txt : 11}>
<behind , {input\big2.txt : 3}>
<being , {input\big2.txt : 2}>
<belong , {input\big2.txt : 2}>
<belonged , {input\big2.txt : 1}>
<belonging , {input\big2.txt : 1}>
<belongings , {input\big2.txt : 1}>
<benefactor , {input\big2.txt : 1}>
<bent , {input\big2.txt : 1}>
<between , {input\big2.txt : 1}>
<bewildered , {input\big2.txt : 1}>
<big , {input\big2.txt : 1}>
<blissful , {input\big2.txt : 1}>
<blush , {input\big2.txt : 1}>
<bogucharovo , {input\big2.txt : 8}>
<bold , {input\big2.txt : 2}>
<boldly , {input\big2.txt : 1}>
<bolkonski , {input\big2.txt : 3}>
<bondage , {input\big2.txt : 1}>
<boorishness , {input\big2.txt : 1}>
<bore , {input\big2.txt : 2}>
<bosom , {input\big2.txt : 1}>
<both , {input\big2.txt : 1}>
<bought , {input\big2.txt : 1}>
<bound , {input\big2.txt : 3}>
<bounty , {input\big2.txt : 1}>
<bourienne , {input\big2.txt : 1}>
<bouriennes , {input\big2.txt : 1}>
<bow , {input\big2.txt : 1}>
<bread , {input\big2.txt : 1}>
<break , {input\big2.txt : 1}>
<bribe , {input\big2.txt : 1}>
<bring , {input\big2.txt : 1}>
<broke , {input\big2.txt : 1}>
<brooding , {input\big2.txt : 1}>
<brother , {input\big2.txt : 5}>
<brothers , {input\big2.txt : 2}>
<business , {input\big2.txt : 1}>
<but , {input\big2.txt : 29}>
<by , {input\big2.txt : 14}>
<call , {input\big2.txt : 2}>
<calm , {input\big2.txt : 1}>
<came , {input\big2.txt : 8}>
<can , {input\big2.txt : 3}>
<cannot , {input\big2.txt : 1}>
<cant , {input\big2.txt : 2}>
<caps , {input\big2.txt : 1}>
<captivity , {input\big2.txt : 1}>
<care , {input\big2.txt : 1}>
<careful , {input\big2.txt : 1}>
<cares , {input\big2.txt : 2}>
<caressing , {input\big2.txt : 1}>
<cart , {input\big2.txt : 1}>
<carting , {input\big2.txt : 1}>
<case , {input\big2.txt : 2}>
<catch , {input\big2.txt : 3}>
<catching , {input\big2.txt : 1}>
<caused , {input\big2.txt : 1}>
<cavalrymen , {input\big2.txt : 1}>
<certainly , {input\big2.txt : 1}>
<chapter , {input\big2.txt : 3}>
<chief , {input\big2.txt : 1}>
<chiefly , {input\big2.txt : 1}>
<chin , {input\big2.txt : 1}>
<christs , {input\big2.txt : 1}>
<class , {input\big2.txt : 1}>
<clearly , {input\big2.txt : 1}>
<close , {input\big2.txt : 3}>
<closely , {input\big2.txt : 1}>
<closer , {input\big2.txt : 1}>
<co , {input\big2.txt : 2}>
<coachman , {input\big2.txt : 1}>
<coarse , {input\big2.txt : 1}>
<cock , {input\big2.txt : 1}>
<coffin , {input\big2.txt : 1}>
<collected , {input\big2.txt : 1}>
<come , {input\big2.txt : 7}>
<comforted , {input\big2.txt : 1}>
<coming , {input\big2.txt : 2}>
<commander , {input\big2.txt : 2}>
<common , {input\big2.txt : 2}>
<commune , {input\big2.txt : 1}>
<completely , {input\big2.txt : 1}>
<concluded , {input\big2.txt : 1}>
<confirmed , {input\big2.txt : 1}>
<conservatory , {input\big2.txt : 1}>
<considered , {input\big2.txt : 1}>
<contemplate , {input\big2.txt : 1}>
<contempt , {input\big2.txt : 1}>
<continued , {input\big2.txt : 1}>
<contrary , {input\big2.txt : 2}>
<convenient , {input\big2.txt : 1}>
<convinced , {input\big2.txt : 1}>
<corn , {input\big2.txt : 3}>
<correct , {input\big2.txt : 1}>
<could , {input\big2.txt : 18}>
<count , {input\big2.txt : 1}>
<courage , {input\big2.txt : 1}>
<cried , {input\big2.txt : 1}>
<crimea , {input\big2.txt : 1}>
<crosses , {input\big2.txt : 1}>
<crowd , {input\big2.txt : 14}>
<crowded , {input\big2.txt : 1}>
<crowed , {input\big2.txt : 1}>
<curiosity , {input\big2.txt : 2}>
<dangerous , {input\big2.txt : 2}>
<dare , {input\big2.txt : 1}>
<daughter , {input\big2.txt : 2}>
