<$14000 , {input\big4.txt : 1}>
<10 , {input\big4.txt : 1}>
<140 , {input\big4.txt : 1}>
<150 , {input\big4.txt : 1}>
<1869 , {input\big4.txt : 1}>
<1870 , {input\big4.txt : 1}>
<1878 , {input\big4.txt : 1}>
<1883 , {input\big4.txt : 2}>
<2nd , {input\big4.txt : 1}>
<3rd , {input\big4.txt : 1}>
<60s , {input\big4.txt : 1}>
<82 , {input\big4.txt : 1}>
<84 , {input\big4.txt : 1}>
<85 , {input\big4.txt : 2}>
<87 , {input\big4.txt : 1}>
<90 , {input\big4.txt : 1}>
<a , {input\big4.txt : 258}>
<abiding , {input\big4.txt : 1}>
<able , {input\big4.txt : 5}>
<abomination , {input\big4.txt : 1}>
<abound , {input\big4.txt : 1}>
<about , {input\big4.txt : 22}>
<above , {input\big4.txt : 3}>
<abroad , {input\big4.txt : 1}>
<absence , {input\big4.txt : 1}>
<absent , {input\big4.txt : 1}>
<absolute , {input\big4.txt : 1}>
<absolutely , {input\big4.txt : 6}>
<absurd , {input\big4.txt : 1}>
<abuse , {input\big4.txt : 1}>
<accidental , {input\big4.txt : 1}>
<according , {input\big4.txt : 1}>
<account , {input\big4.txt : 6}>
<accounts , {input\big4.txt : 1}>
<accused , {input\big4.txt : 2}>
<acquitted , {input\big4.txt : 1}>
<across , {input\big4.txt : 4}>
<acting , {input\big4.txt : 2}>
<action , {input\big4.txt : 2}>
<actions , {input\big4.txt : 1}>
<active , {input\big4.txt : 1}>
<add , {input\big4.txt : 1}>
<admire , {input\big4.txt : 1}>
<ado , {input\big4.txt : 1}>
<advantages , {input\big4.txt : 1}>
<adventure , {input\big4.txt : 2}>
<adventures , {input\big4.txt : 1}>
<advice , {input\big4.txt : 3}>
<affair , {input\big4.txt : 1}>
<affairs , {input\big4.txt : 1}>
<afraid , {input\big4.txt : 7}>
<after , {input\big4.txt : 9}>
<afternoon , {input\big4.txt : 1}>
<afterwards , {input\big4.txt : 2}>
<again , {input\big4.txt : 3}>
<against , {input\big4.txt : 5}>
<agent , {input\big4.txt : 1}>
<ago , {input\big4.txt : 1}>
<ah , {input\big4.txt : 3}>
<aid , {input\big4.txt : 1}>
<air , {input\big4.txt : 2}>
<alice , {input\big4.txt : 4}>
<alive , {input\big4.txt : 2}>
<all , {input\big4.txt : 36}>
<allow , {input\big4.txt : 1}>
<allusion , {input\big4.txt : 1}>
<almost , {input\big4.txt : 2}>
<alone , {input\big4.txt : 2}>
<along , {input\big4.txt : 1}>
<already , {input\big4.txt : 7}>
<also , {input\big4.txt : 4}>
<alternately , {input\big4.txt : 1}>
<although , {input\big4.txt : 2}>
<always , {input\big4.txt : 6}>
<am , {input\big4.txt : 24}>
<amateur , {input\big4.txt : 1}>
<america , {input\big4.txt : 2}>
<amid , {input\big4.txt : 1}>
<among , {input\big4.txt : 6}>
<ample , {input\big4.txt : 1}>
<an , {input\big4.txt : 24}>
<analytical , {input\big4.txt : 1}>
<and , {input\big4.txt : 342}>
<anderson , {input\big4.txt : 1}>
<angry , {input\big4.txt : 1}>
<animal , {input\big4.txt : 1}>
<another , {input\big4.txt : 2}>
<answer , {input\big4.txt : 4}>
<answered , {input\big4.txt : 5}>
<answering , {input\big4.txt : 1}>
<anxiety , {input\big4.txt : 1}>
<anxious , {input\big4.txt : 1}>
<anxiously , {input\big4.txt : 1}>
<any , {input\big4.txt : 9}>
<anyhow , {input\big4.txt : 1}>
<anyone , {input\big4.txt : 2}>
<anything , {input\big4.txt : 6}>
<anything; , {input\big4.txt : 1}>
<apology , {input\big4.txt : 1}>
<appeal , {input\big4.txt : 1}>
<appearance , {input\big4.txt : 2}>
<appeared , {input\big4.txt : 1}>
<appears , {input\big4.txt : 2}>
<appointment , {input\big4.txt : 2}>
<approach , {input\big4.txt : 1}>
<approached , {input\big4.txt : 1}>
<arat , {input\big4.txt : 1}>
<are , {input\big4.txt : 28}>
<argue , {input\big4.txt : 1}>
<arise , {input\big4.txt : 1}>
<arm , {input\big4.txt : 1}>
<arm; , {input\big4.txt : 1}>
<arms , {input\big4.txt : 3}>
<army , {input\big4.txt : 1}>
<aroused , {input\big4.txt : 1}>
<arrested , {input\big4.txt : 1}>
<arrival , {input\big4.txt : 1}>
<arrived , {input\big4.txt : 2}>
<as , {input\big4.txt : 91}>
<ascended , {input\big4.txt : 1}>
<ash , {input\big4.txt : 2}>
<ashamed , {input\big4.txt : 1}>
<ashen , {input\big4.txt : 1}>
<ashes , {input\big4.txt : 3}>
<ask , {input\big4.txt : 2}>
