<i; , {input\big4.txt : 1}{input\big5.txt : 2}{input\big1.txt : 1}{input\big3.txt : 1}>
<idea , {input\big4.txt : 5}{input\big5.txt : 5}{input\big2.txt : 2}>
<idiot , {input\big4.txt : 1}>
<if , {input\big4.txt : 26}{input\big5.txt : 29}{input\big2.txt : 8}{input\big1.txt : 17}{input\big3.txt : 35}{input\big.txt : 22}>
<ignorance , {input\big4.txt : 1}>
<ill , {input\big4.txt : 4}{input\big5.txt : 9}{input\big2.txt : 3}{input\big1.txt : 1}{input\big3.txt : 2}>
<illustrate , {input\big4.txt : 1}>
<imagination , {input\big4.txt : 1}{input\big2.txt : 1}{input\big3.txt : 1}>
<imagine , {input\big4.txt : 1}{input\big5.txt : 4}{input\big1.txt : 3}{input\big3.txt : 5}>
<imbecile , {input\big4.txt : 1}>
<immediately , {input\big4.txt : 1}{input\big2.txt : 2}{input\big1.txt : 1}{input\big3.txt : 3}{input\big.txt : 1}>
<impatient , {input\big4.txt : 1}>
<imploring , {input\big4.txt : 1}>
<importance , {input\big4.txt : 4}{input\big1.txt : 4}{input\big3.txt : 4}>
<important , {input\big4.txt : 2}{input\big5.txt : 1}{input\big1.txt : 1}{input\big3.txt : 3}>
<impossible , {input\big4.txt : 2}{input\big2.txt : 1}{input\big3.txt : 1}{input\big.txt : 1}>
<impressed , {input\big4.txt : 1}{input\big5.txt : 1}>
<impression , {input\big4.txt : 3}{input\big5.txt : 1}{input\big1.txt : 1}{input\big3.txt : 1}>
<impressive , {input\big4.txt : 1}>
<improbabilities , {input\big4.txt : 1}>
<impulsively , {input\big4.txt : 1}>
<in , {input\big4.txt : 174}{input\big5.txt : 228}{input\big2.txt : 47}{input\big1.txt : 115}{input\big3.txt : 212}{input\big.txt : 109}>
<incarnate , {input\big4.txt : 1}>
<incident , {input\big4.txt : 4}>
<inclined , {input\big4.txt : 2}{input\big1.txt : 1}{input\big3.txt : 1}>
<indeed , {input\big4.txt : 3}{input\big5.txt : 6}{input\big2.txt : 1}{input\big1.txt : 9}{input\big3.txt : 15}>
<indexing , {input\big4.txt : 1}>
<india , {input\big4.txt : 1}{input\big5.txt : 1}>
<indian , {input\big4.txt : 3}{input\big5.txt : 2}>
<indicate , {input\big4.txt : 1}{input\big5.txt : 1}{input\big.txt : 1}>
