<table , {input\big4.txt : 7}{input\big5.txt : 3}{input\big1.txt : 2}{input\big3.txt : 5}>
<tackle , {input\big4.txt : 2}>
<take , {input\big4.txt : 8}{input\big5.txt : 15}{input\big2.txt : 5}{input\big1.txt : 5}{input\big3.txt : 7}{input\big.txt : 4}>
<taken , {input\big4.txt : 4}{input\big5.txt : 2}{input\big2.txt : 3}{input\big1.txt : 2}{input\big3.txt : 3}{input\big.txt : 1}>
<tale , {input\big4.txt : 1}{input\big2.txt : 1}>
<talk , {input\big4.txt : 5}{input\big5.txt : 3}{input\big2.txt : 4}>
<talking , {input\big4.txt : 2}{input\big2.txt : 3}{input\big1.txt : 1}{input\big3.txt : 1}>
<tall , {input\big4.txt : 1}{input\big5.txt : 2}{input\big2.txt : 1}{input\big1.txt : 1}{input\big3.txt : 1}>
<tangled , {input\big4.txt : 1}{input\big5.txt : 2}>
<tankerville , {input\big4.txt : 1}>
<tapping , {input\big4.txt : 1}{input\big5.txt : 1}>
<taste , {input\big4.txt : 1}{input\big1.txt : 1}{input\big3.txt : 1}>
<tea , {input\big4.txt : 1}>
<tear , {input\big4.txt : 1}>
<telegram , {input\big4.txt : 1}>
<tell , {input\big4.txt : 10}{input\big5.txt : 19}{input\big2.txt : 10}{input\big1.txt : 6}{input\big3.txt : 11}>
<temper , {input\big4.txt : 1}{input\big5.txt : 1}>
<tempered , {input\big4.txt : 1}>
<temptation , {input\big4.txt : 1}{input\big5.txt : 1}>
<tempted , {input\big4.txt : 1}>
<ten , {input\big4.txt : 1}{input\big5.txt : 1}{input\big2.txt : 1}{input\big1.txt : 2}{input\big3.txt : 6}>
<tender , {input\big4.txt : 2}{input\big.txt : 3}>
<terrible , {input\big4.txt : 1}{input\big5.txt : 5}>
<terribly , {input\big4.txt : 1}{input\big5.txt : 2}>
<terror , {input\big4.txt : 2}{input\big5.txt : 3}>
<text , {input\big4.txt : 1}>
<than , {input\big4.txt : 14}{input\big5.txt : 20}{input\big1.txt : 6}{input\big3.txt : 18}{input\big.txt : 1}>
<thank , {input\big4.txt : 3}{input\big5.txt : 2}{input\big1.txt : 1}{input\big3.txt : 2}>
<that , {input\big4.txt : 176}{input\big5.txt : 201}{input\big2.txt : 60}{input\big1.txt : 78}{input\big3.txt : 182}{input\big.txt : 10}>
<the , {input\big4.txt : 606}{input\big5.txt : 733}{input\big2.txt : 218}{input\big1.txt : 329}{input\big3.txt : 625}{input\big.txt : 473}>
<their , {input\big4.txt : 5}{input\big5.txt : 11}{input\big2.txt : 9}{input\big1.txt : 9}{input\big3.txt : 11}{input\big.txt : 5}>
<them , {input\big4.txt : 12}{input\big5.txt : 17}{input\big2.txt : 27}{input\big1.txt : 6}{input\big3.txt : 12}{input\big.txt : 1}>
<then , {input\big4.txt : 32}{input\big5.txt : 52}{input\big2.txt : 6}{input\big1.txt : 28}{input\big3.txt : 46}>
<theories , {input\big4.txt : 3}{input\big1.txt : 2}{input\big3.txt : 2}>
<there , {input\big4.txt : 52}{input\big5.txt : 53}{input\big2.txt : 15}{input\big1.txt : 27}{input\big3.txt : 51}{input\big.txt : 12}>
<thereby , {input\big4.txt : 1}{input\big.txt : 1}>
<therefore , {input\big4.txt : 2}{input\big5.txt : 4}{input\big1.txt : 1}{input\big3.txt : 1}{input\big.txt : 3}>
